Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.38,-.12,-.02,-.80,-.49,-.29,-.14,-.10,-.04,.05,.63
1881,-.08,-.17,.00,-.34,.11,-.07,-.89,-.44,-.20,.11,.11,-.05,-.07,.55
1882,-.11,-.21,-.01,-.31,-.04,.01,-1.38,-.25,-.16,-.03,-.05,.01,.04,.58
1883,-.17,-.28,-.07,-.36,-.16,-.01,-.23,-.55,-.27,-.16,-.16,-.04,.07,.46
1884,-.29,-.43,-.15,-.62,-.14,-.14,-1.35,-.67,-.47,-.12,-.17,-.19,-.02,.61
1885,-.33,-.43,-.25,-.66,-.12,-.28,-1.54,-.68,-.46,-.04,-.21,-.34,-.15,.78
1886,-.31,-.42,-.20,-.57,-.18,-.22,-1.61,-.49,-.40,-.17,-.19,-.20,-.20,.55
1887,-.35,-.42,-.29,-.52,-.28,-.29,-1.76,-.50,-.30,-.25,-.30,-.28,-.26,.28
1888,-.17,-.22,-.12,-.41,.11,-.29,-1.31,-.40,-.25,.10,.12,-.31,-.22,.11
1889,-.10,-.16,-.05,-.30,.09,-.17,-.70,-.21,-.28,.06,.13,-.15,-.15,.40
1890,-.35,-.38,-.33,-.47,-.35,-.23,-1.15,-.58,-.28,-.23,-.47,-.18,-.27,.11
1891,-.22,-.24,-.20,-.43,-.06,-.22,-1.12,-.32,-.37,.04,-.17,-.18,-.24,-.20
1892,-.26,-.37,-.16,-.43,-.27,-.08,-1.12,-.63,-.17,-.28,-.27,.02,-.21,.05
1893,-.30,-.46,-.16,-.50,-.35,-.05,-.69,-.52,-.47,-.38,-.31,.07,-.20,-.09
1894,-.29,-.36,-.22,-.32,-.31,-.24,-.94,-.32,-.18,-.43,-.19,-.15,-.35,-.42
1895,-.22,-.28,-.16,-.39,-.05,-.26,-.65,-.50,-.27,-.09,-.01,-.20,-.32,-.63
1896,-.10,-.17,-.03,-.35,.12,-.15,-.87,-.37,-.22,.10,.14,-.15,-.13,.21
